id,sentence,category
1,"You're invited to the Developers' Meetup on Sunday, March 15th at 5 PM in T-Hub, Hyderabad.","event_with_info"
2,"The Dance Fest is happening this Friday night, June 21st at 8 PM at Club Neptune.","event_with_info"
3,"Join us for the Book Launch next Monday, April 8th at 4 PM at City Central Library.","event_with_info"
4,"The Alumni Reunion is at 6 PM on January 15th, 2025 in the Main Hall.","event_with_info"
5,"Don't miss the Startup Pitch Day at 10 AM tomorrow, May 3rd at the Innovation Hub.","event_with_info"
6,"Come to the Poetry Slam on Wednesday, July 10th at 7:30 PM in the Downtown Café.","event_with_info"
7,"The Tech Conference starts at 9 AM on March 12th, 2025 at the Convention Center.","event_with_info"
8,"You're cordially invited to the Art Exhibition on Saturday, August 17th at 2 PM in Gallery One.","event_with_info"
9,"The Music Festival kicks off at 5 PM this Friday, September 6th at Riverside Park.","event_with_info"
10,"Join the Science Fair on November 8th, 2024 from 10 AM to 4 PM at the University Campus.","event_with_info"
11,"Don't miss the Film Premiere tonight at 8 PM on December 24th at the Grand Theater.","event_with_info"
12,"The Food Truck Rally is happening this Sunday, October 13th from noon to 9 PM in Central Square.","event_with_info"
13,"Attend the Leadership Workshop on June 5th, 2025 at 1 PM in the Executive Suite.","event_with_info"
14,"The Charity Gala begins at 7 PM on December 10th, 2024 at the Plaza Hotel.","event_with_info"
15,"Come to the Hackathon this weekend, starting Saturday, February 9th at 9 AM in Tech Park.","event_with_info"
16,"The Fashion Show is at 6:30 PM next Thursday, May 23rd at the Metropolitan Mall.","event_with_info"
17,"Join us for the Wine Tasting event on Friday, July 19th at 4 PM at Vineyard Estates.","event_with_info"
18,"The Annual General Meeting will be held at 3 PM tomorrow, March 8th in Conference Room B.","event_with_info"
19,"Don't miss the Comedy Night this Saturday, April 13th at 9 PM at The Laugh Factory.","event_with_info"
20,"The Career Fair is happening next Tuesday, November 12th from 10 AM to 6 PM at the Expo Center.","event_with_info"
21,"You're invited to the Product Launch on April 15th, 2025 at 11 AM in the Showroom.","event_with_info"
22,"The Yoga Retreat starts at sunrise this Sunday, August 4th at Mountain View Resort.","event_with_info"
23,"Join the Photography Walk on Saturday, September 28th at 8 AM meeting at the City Pier.","event_with_info"
24,"The Baking Competition is at 2 PM next Sunday, October 20th at the Culinary Institute.","event_with_info"
25,"Don't miss the TEDx Talks on November 20th, 2024 starting at 10 AM in the Auditorium.","event_with_info"
26,"The Jazz Brunch is this Sunday, May 5th from 11 AM to 2 PM at The Blue Note Café.","event_with_info"
27,"Come to the Startup Demo Day on Thursday, June 27th at 1 PM in the Innovation District.","event_with_info"
28,"The Poetry Reading is tonight at 7 PM on January 30th at the Bookworm Café.","event_with_info"
29,"Join us for the Fundraiser Gala on May 5th, 2025 at 6 PM at the Grand Ballroom.","event_with_info"
30,"The Magic Show starts at 5 PM this Saturday, December 7th at the Children's Theater.","event_with_info"
31,"Don't miss the VR Expo tomorrow, February 14th from 9 AM to 5 PM at the Tech Convention Center.","event_with_info"
32,"The Farmers Market is every Saturday from 8 AM to 2 PM in Town Square (next market: March 2nd).","event_with_info"
33,"You're invited to the AI Panel Discussion on Wednesday, April 3rd at 3 PM at the Research Lab.","event_with_info"
34,"The Marathon begins at 6 AM this Sunday, July 21st at the City Waterfront.","event_with_info"
35,"Join the Cooking Class next Tuesday, August 27th at 6 PM at the Culinary Arts Center.","event_with_info"
36,"The Antique Fair is happening this weekend, September 14th-15th from 10 AM daily at the Fairgrounds.","event_with_info"
37,"Don't miss the Lunar Eclipse Viewing tonight at 10 PM on October 17th at the Observatory.","event_with_info"
38,"The Business Summit starts at 8:30 AM on October 12th, 2024 at the Downtown Hilton.","event_with_info"
39,"Come to the Puppet Show this Friday, November 1st at 4 PM at the Community Center.","event_with_info"
40,"The Chess Tournament is next Saturday, December 14th starting at 9 AM in the Grand Hall.","event_with_info"
41,"Join us for the Salsa Night every Thursday at 8 PM at Tropical Club (next event: March 7th).","event_with_info"
42,"The Sculpture Exhibition opens tomorrow, May 9th at 11 AM at the Modern Art Museum.","event_with_info"
43,"Don't miss the Robotics Demo Day on March 8th, 2025 at 2 PM in the Engineering Building.","event_with_info"
44,"The Open Mic Night is tonight at 7:30 PM on June 4th at The Grind Coffeehouse.","event_with_info"
45,"You're invited to the Investment Seminar on May 20th, 2025 at 10 AM in the Financial District.","event_with_info"
46,"The Dog Show starts at noon this Saturday, July 6th at the County Fairgrounds.","event_with_info"
47,"Join the Meditation Session tomorrow at sunrise on August 12th at Peace Park.","event_with_info"
48,"The Vintage Car Display is Sunday, September 22nd from 9 AM to 4 PM along Main Street.","event_with_info"
49,"Don't miss the Astronomy Lecture tonight at 7 PM on January 18th at the Planetarium.","event_with_info"
50,"The Startup Mixer is this Thursday, February 29th at 5:30 PM at The Foundry Co-Working Space.","event_with_info"id,sentence,category
51,"Come to the Children's Book Fair next Saturday, October 5th from 10 AM at the Library Plaza.","event_with_info"
52,"The Pottery Workshop begins at 3 PM tomorrow, November 11th at the Arts Collective.","event_with_info"
53,"Join us for the Networking Brunch on Friday, December 6th at 10 AM at The Garden Restaurant.","event_with_info"
