id,sentence,category
1,"Something is happening on March 15th at 5 PM in T-Hub, Hyderabad.","event_with_info"
2,"There will be activities on Friday night, June 21st at 8 PM at Club Neptune.","event_with_info"
3,"An occasion is scheduled for next Monday, April 8th at 4 PM at City Central Library.","event_with_info"
4,"A gathering is planned at 6 PM on January 15th, 2025 in the Main Hall.","event_with_info"
5,"Activities are planned at 10 AM tomorrow, May 3rd at the Innovation Hub.","event_with_info"
6,"Things will take place on Wednesday, July 10th at 7:30 PM in the Downtown Café.","event_with_info"
7,"Something begins at 9 AM on March 12th, 2025 at the Convention Center.","event_with_info"
8,"An event is happening on Saturday, August 17th at 2 PM in Gallery One.","event_with_info"
9,"Activities will start at 5 PM this Friday, September 6th at Riverside Park.","event_with_info"
10,"There will be something happening on November 8th, 2024 from 10 AM to 4 PM at the University Campus.","event_with_info"
11,"A special occasion is tonight at 8 PM on December 24th at the Grand Theater.","event_with_info"
12,"Things are planned this Sunday, October 13th from noon to 9 PM in Central Square.","event_with_info"
13,"A session is scheduled for June 5th, 2025 at 1 PM in the Executive Suite.","event_with_info"
14,"An occasion begins at 7 PM on December 10th, 2024 at the Plaza Hotel.","event_with_info"
15,"Activities are happening this weekend, starting Saturday, February 9th at 9 AM in Tech Park.","event_with_info"
16,"A gathering is planned for next Thursday, May 23rd at 6:30 PM at the Metropolitan Mall.","event_with_info"
17,"There will be something happening on Friday, July 19th at 4 PM at Vineyard Estates.","event_with_info"
18,"A meeting will be held at 3 PM tomorrow, March 8th in Conference Room B.","event_with_info"
19,"Activities are planned for this Saturday, April 13th at 9 PM at The Laugh Factory.","event_with_info"
20,"Something is happening next Tuesday, November 12th from 10 AM to 6 PM at the Expo Center.","event_with_info"
21,"An occasion is planned on April 15th, 2025 at 11 AM in the Showroom.","event_with_info"
22,"Activities begin at sunrise this Sunday, August 4th at Mountain View Resort.","event_with_info"
23,"Something is scheduled for Saturday, September 28th at 8 AM meeting at the City Pier.","event_with_info"
24,"A competition is happening at 2 PM next Sunday, October 20th at the Culinary Institute.","event_with_info"
25,"Activities start at 10 AM on November 20th, 2024 in the Auditorium.","event_with_info"
26,"There will be something happening this Sunday, May 5th from 11 AM to 2 PM at The Blue Note Café.","event_with_info"
27,"Things are planned for Thursday, June 27th at 1 PM in the Innovation District.","event_with_info"
28,"An occasion is tonight at 7 PM on January 30th at the Bookworm Café.","event_with_info"
29,"A gathering is scheduled for May 5th, 2025 at 6 PM at the Grand Ballroom.","event_with_info"
30,"Activities start at 5 PM this Saturday, December 7th at the Children's Theater.","event_with_info"
31,"Something is happening tomorrow, February 14th from 9 AM to 5 PM at the Tech Convention Center.","event_with_info"
32,"Regular activities occur every Saturday from 8 AM to 2 PM in Town Square (next date: March 2nd).","event_with_info"
33,"A discussion is planned for Wednesday, April 3rd at 3 PM at the Research Lab.","event_with_info"
34,"Things begin at 6 AM this Sunday, July 21st at the City Waterfront.","event_with_info"
35,"An activity is scheduled for next Tuesday, August 27th at 6 PM at the Culinary Arts Center.","event_with_info"
36,"Something is happening this weekend, September 14th-15th from 10 AM daily at the Fairgrounds.","event_with_info"
37,"A viewing is tonight at 10 PM on October 17th at the Observatory.","event_with_info"
38,"Activities start at 8:30 AM on October 12th, 2024 at the Downtown Hilton.","event_with_info"
39,"Something is planned for this Friday, November 1st at 4 PM at the Community Center.","event_with_info"
40,"A tournament begins next Saturday, December 14th starting at 9 AM in the Grand Hall.","event_with_info"
41,"Regular gatherings happen every Thursday at 8 PM at Tropical Club (next date: March 7th).","event_with_info"
42,"An exhibition opens tomorrow, May 9th at 11 AM at the Modern Art Museum.","event_with_info"
43,"Activities are planned for March 8th, 2025 at 2 PM in the Engineering Building.","event_with_info"
44,"Something is happening tonight at 7:30 PM on June 4th at The Grind Coffeehouse.","event_with_info"
45,"A seminar is scheduled for May 20th, 2025 at 10 AM in the Financial District.","event_with_info"
46,"Activities start at noon this Saturday, July 6th at the County Fairgrounds.","event_with_info"
47,"A session is planned for tomorrow at sunrise on August 12th at Peace Park.","event_with_info"
48,"A display is happening Sunday, September 22nd from 9 AM to 4 PM along Main Street.","event_with_info"
49,"A lecture is tonight at 7 PM on January 18th at the Planetarium.","event_with_info"
50,"A gathering is planned for this Thursday, February 29th at 5:30 PM at The Foundry Co-Working Space.","event_with_info"
51,"Things are happening next Saturday, October 5th from 10 AM at the Library Plaza.","event_with_info"
52,"An activity begins at 3 PM tomorrow, November 11th at the Arts Collective.","event_with_info"
53,"Something is planned for Friday, December 6th at 10 AM at The Garden Restaurant.","event_with_info"
54,"Activities start at dusk this Friday, January 17th at Lakeside Park.","event_with_info"
55,"There will be something happening on July 15th, 2025 at 1 PM at the Airfield.","event_with_info"
56,"An occasion is scheduled for next Wednesday, April 24th from 9 AM to 3 PM at the High School.","event_with_info"
57,"A workshop is happening on Sunday, May 19th at 2 PM at the Writers' Loft.","event_with_info"
58,"Activities kick off at noon this Saturday, August 10th at the Riverfront Plaza.","event_with_info"
59,"A tour is planned for May 1st, 2025 at 11 AM meeting at the City Museum.","event_with_info"
60,"Something is happening tonight at 9 PM on June 30th at The Warehouse Venue.","event_with_info"
61,"Activities begin tomorrow, September 3rd at 8 AM in the Tech Incubator.","event_with_info"
