id,sentence,category
1,"A meeting was conducted.","event_no_info"
2,"People assembled for a celebration.","event_no_info"
3,"A performance delighted the audience.","event_no_info"
4,"Speeches were given to inspire the crowd.","event_no_info"
5,"A contest determined the winner.","event_no_info"
6,"Attendees exchanged ideas.","event_no_info"
7,"An award was presented.","event_no_info"
8,"A large group enjoyed the activities.","event_no_info"
9,"A workshop taught new skills.","event_no_info"
10,"Music played in the background.","event_no_info"
11,"A demonstration captured everyone's attention.","event_no_info"
12,"Discussions lasted for hours.","event_no_info"
13,"A festival brought joy to many.","event_no_info"
14,"Food was distributed among the guests.","event_no_info"
15,"A panel shared insights.","event_no_info"
16,"Laughter filled the room.","event_no_info"
17,"A tournament decided the champion.","event_no_info"
18,"Participants collaborated on projects.","event_no_info"
19,"A ceremony honored achievements.","event_no_info"
20,"The crowd cheered enthusiastically.","event_no_info"
21,"A fair showcased creativity.","event_no_info"
22,"Speeches motivated the listeners.","event_no_info"
23,"A gathering strengthened relationships.","event_no_info"
24,"An exhibition displayed artwork.","event_no_info"
25,"A debate sparked thoughtful arguments.","event_no_info"
26,"Applause echoed through the hall.","event_no_info"
27,"A competition tested skills.","event_no_info"
28,"Attendees networked with each other.","event_no_info"
29,"A performance received a standing ovation.","event_no_info"
30,"A lecture educated the audience.","event_no_info"
31,"A party lifted everyone's spirits.","event_no_info"
32,"A workshop encouraged participation.","event_no_info"
33,"A discussion led to new ideas.","event_no_info"
34,"A concert created a lively atmosphere.","event_no_info"
35,"A ritual was performed.","event_no_info"
36,"A crowd watched in anticipation.","event_no_info"
37,"A team was recognized for their efforts.","event_no_info"
38,"A demonstration impressed the onlookers.","event_no_info"
39,"A celebration continued late into the night.","event_no_info"
40,"A presentation informed the group.","event_no_info"
41,"A tradition was upheld.","event_no_info"
42,"A game brought people together.","event_no_info"
43,"A ceremony marked a special occasion.","event_no_info"
44,"A performance left a lasting impression.","event_no_info"
45,"A discussion resolved key issues.","event_no_info"
46,"A gathering fostered new friendships.","event_no_info"
47,"A contest challenged the participants.","event_no_info"
48,"A lecture provided valuable knowledge.","event_no_info"
49,"A crowd celebrated a milestone.","event_no_info"
50,"A workshop improved skills.","event_no_info"
51,"A conference addressed important topics.","event_no_info"
52,"A crowd observed the proceedings.","event_no_info"
53,"A demonstration showcased new technology.","event_no_info"
54,"A reception welcomed newcomers.","event_no_info"
55,"A seminar explored complex concepts.","event_no_info"
56,"A group participated in exercises.","event_no_info"
57,"A ceremony concluded the proceedings.","event_no_info"
58,"A performance captivated the spectators.","event_no_info"
59,"A workshop developed practical abilities.","event_no_info"
60,"A discussion generated innovative solutions.","event_no_info"
61,"A gathering promoted cultural exchange.","event_no_info"
62,"A competition measured proficiency.","event_no_info"
63,"A lecture clarified difficult subjects.","event_no_info"
64,"A festival highlighted diverse traditions.","event_no_info"
65,"A team demonstrated their capabilities.","event_no_info"
66,"A presentation outlined key findings.","event_no_info"
67,"A debate examined opposing viewpoints.","event_no_info"
68,"A crowd enjoyed the entertainment.","event_no_info"
69,"A workshop built confidence.","event_no_info"
70,"A celebration recognized contributions.","event_no_info"
71,"A performance conveyed deep emotions.","event_no_info"
72,"A conference facilitated professional connections.","event_no_info"
73,"A demonstration illustrated new methods.","event_no_info"
74,"A seminar provided hands-on experience.","event_no_info"
75,"A gathering encouraged open dialogue.","event_no_info"
76,"A competition revealed hidden talents.","event_no_info"
77,"A lecture stimulated intellectual curiosity.","event_no_info"
78,"A festival created a sense of community.","event_no_info"
79,"A team worked collaboratively.","event_no_info"
80,"A presentation summarized the outcomes.","event_no_info"
81,"A debate refined critical thinking.","event_no_info"
82,"A crowd appreciated the artistry.","event_no_info"
83,"A workshop cultivated new perspectives.","event_no_info"
84,"A celebration marked progress.","event_no_info"
85,"A performance transported the audience.","event_no_info"
86,"A conference shared best practices.","event_no_info"
87,"A demonstration proved effectiveness.","event_no_info"
88,"A seminar answered pressing questions.","event_no_info"
89,"A gathering broke down barriers.","event_no_info"
90,"A competition pushed boundaries.","event_no_info"
91,"A lecture demystified complex theories.","event_no_info"
92,"A festival celebrated human creativity.","event_no_info"
93,"A team achieved remarkable results.","event_no_info"
94,"A presentation inspired action.","event_no_info"
