id,sentence
1,The venue is the Grand Hyatt in Mumbai.
2,We'll be gathering at Central Park, New York.
3,Everything will take place at the IIT Delhi auditorium.
4,The location is Club Escape on 5th Avenue.
5,It's happening at Marina Bay Sands in Singapore.
6,We’re meeting at the Louvre Museum in Paris.
7,The place to be is the Tokyo Dome in Japan.
8,Join us at the Sydney Opera House for the occasion.
9,The spot is the rooftop of The Standard, LA.
10,All guests should head to the Ritz-Carlton, Dubai.
11,We’ll be at the Shard in London for the evening.
12,The address is 123 Main Street, Downtown.
13,Find us at the Eiffel Tower’s summit restaurant.
14,The gathering point is the Bellagio Fountains in Vegas.
15,The exact location is the Harvard Science Center.
16,We’ve booked the entire MoMA for the night.
17,It’s all set at the Burj Al Arab’s Skyview Bar.
18,The place? The Colosseum in Rome.
19,We’ll be waiting at the Blue Note Jazz Club.
20,The spot is the Marina Bay Sands Infinity Pool.
21,Head over to the Sistine Chapel for the gathering.
22,The venue? The Googleplex in Mountain View.
23,Meet us at the top of the Empire State Building.
24,The location is the Golden Gate Bridge’s vista point.
25,We’re stationed at the Champs-Élysées in Paris.
26,The place to be is the Dubai Mall’s ice rink.
27,Find us at the base of the Statue of Liberty.
28,The gathering is at the Acropolis in Athens.
29,We’ll be at the Eden Project in Cornwall.
30,The spot is the Singapore Flyer observation deck.
31,The venue is the National Gallery in London.
32,We’re set up at the Red Square in Moscow.
33,The location is the Vatican Museums.
34,Meet us at the top of the CN Tower in Toronto.
35,The place is the Petronas Towers in Kuala Lumpur.
36,We’ll be at the Christ the Redeemer statue.
37,The exact spot is the Sydney Harbour Bridge.
38,Head to the Forbidden City’s main courtyard.
39,The gathering point is the Taj Mahal’s gardens.
40,We’re stationed at the Niagara Falls overlook.
41,The venue is the Sheikh Zayed Grand Mosque.
42,Find us at the Hollywood Walk of Fame.
43,The location is the Sagrada Família in Barcelona.
44,We’ll be at the Alhambra Palace in Spain.
45,The spot is the Brandenburg Gate in Berlin.
46,Meet us at the Lincoln Memorial in D.C.
47,The place is the Atomium in Brussels.
48,We’re gathering at the Leaning Tower of Pisa.
49,The venue is the Palace of Versailles.
50,Head over to the Great Wall of China’s watchtower.
51,The location is the Hermitage Museum in Russia.
52,We’ll be at the Neuschwanstein Castle in Germany.
53,The spot is the Blue Lagoon in Iceland.
54,Meet us at the Victoria Peak in Hong Kong.
55,The place is the Grand Bazaar in Istanbul.
56,We’re set up at the Angkor Wat temple complex.
57,The venue is the Machu Picchu ruins.
58,Find us at the Santorini caldera in Greece.
59,The gathering point is the Dubai Fountain Boardwalk.
60,We’ll be at the Louvre Abu Dhabi’s entrance.
61,The exact location is the Gardens by the Bay.
62,Head to the Metropolitan Museum of Art’s steps.
63,The place is the Rockefeller Center ice rink.
64,We’re stationed at the Times Square crossroads.
65,The venue is the Notre-Dame Cathedral plaza.
66,Meet us at the Tower Bridge in London.
67,The location is the Uffizi Gallery in Florence.
68,We’ll be at the St. Peter’s Basilica dome.
69,The spot is the Hagia Sophia in Istanbul.
70,Find us at the Trevi Fountain in Rome.
71,The gathering is at the Sydney Harbour’s edge.
72,We’re set up at the Bondi Beach promenade.
73,The venue is the Copacabana Beach in Rio.
74,Head over to the Waikiki Beach shoreline.
75,The place is the Maldives’ overwater bungalows.
76,We’ll be at the Santorini cliffside villas.
77,The exact spot is the Amalfi Coast’s viewpoint.
78,Meet us at the Banff National Park’s lake.
79,The location is the Yellowstone geyser basin.
80,We’re gathering at the Grand Canyon’s South Rim.
81,The spot is the Niagara Falls’ Maid of the Mist.
82,Find us at the Serengeti safari camp.
83,The venue is the Amazon rainforest lodge.
84,We’ll be at the Great Barrier Reef pontoon.
85,The place is the Patagonia glacier lookout.
86,Head to the Dead Sea’s floating pier.
87,The gathering point is the Sahara Desert oasis.
88,We’re stationed at the Swiss Alps chalet.
89,The exact location is the Norwegian fjord dock.
90,Meet us at the Iceland black sand beach.
91,The venue is the Kyoto bamboo forest path.
92,We’ll be at the Bali rice terrace overlook.
93,The spot is the Bora Bora overwater deck.
94,Find us at the Santorini sunset viewpoint.
95,The gathering is at the Venice canals’ edge.
96,We’re set up at the Prague Castle courtyard.
97,The place is the Budapest thermal baths.
98,Head over to the Vienna State Opera steps.
99,The location is the Amsterdam canal house.
100,We’ll be at the Brussels Grand Place square.
101,The venue is the Lisbon tram stop.
102,Meet us at the Edinburgh Castle esplanade.
103,The spot is the Dublin Temple Bar pub.
104,Find us at the Stockholm City Hall balcony.
105,The gathering point is the Oslo Opera House roof.
106,We’re stationed at the Helsinki Senate Square.
107,The exact location is the Reykjavik Hallgrímskirkja.
108,Head to the Copenhagen Nyhavn docks.
109,The place is the Berlin Wall Memorial.
110,We’ll be at the Munich Hofbräuhaus beer hall.
111,The venue is the Zurich Bahnhofstrasse.
112,Meet us at the Geneva Jet d’Eau lakeside.
113,The location is the Monaco Casino Square.
114,We’re gathering at the Nice Promenade des Anglais.
115,The spot is the Marseille Old Port.
116,Find us at the Lyon Place Bellecour.
117,The gathering is at the Bordeaux quayside.
118,We’re set up at the Toulouse Capitole.
119,The place is the Strasbourg Cathedral plaza.
120,Head over to the Lille Grand Place.
121,The venue is the Brussels Comic Strip Wall.
122,We’ll be at the Antwerp Diamond District.
123,Meet us at the Bruges Markt Square.
124,The exact spot is the Ghent Gravensteen.
125,Find us at the Rotterdam Cube Houses.
126,The gathering point is the Hague Peace Palace.
127,We’re stationed at the Utrecht Dom Tower.
128,The location is the Eindhoven Strijp-S.
129,We’ll be at the Maastricht Vrijthof.
130,The spot is the Groningen Martini Tower.
131,Meet us at the Arnhem Sonsbeek Park.
132,The venue is the Zwolle Sassenpoort.
133,Head to the Haarlem Grote Markt.
134,The place is the Delft Royal Factory.
135,We’re gathering at the Leiden Pieterskerk.
136,Find us at the Alkmaar Cheese Market.
137,The gathering is at the Amersfoort Koppelpoort.
138,We’re set up at the Breda Grote Kerk.
139,The exact location is the Den Bosch St. John’s.
140,Meet us at the Enschede Van Heekplein.
141,The venue is the Nijmegen Waalbrug.
142,We’ll be at the Tilburg Spoorzone.
143,The spot is the Apeldoorn Het Loo Palace.
144,Head over to the Leeuwarden Oldehove.
145,The place is the Zwolle Waanders In de Broeren.
146,We’re stationed at the Deventer Bergkerk.
147,The gathering point is the Zutphen Walstraat.
