id,sentence
1,"Mark your calendar for March 15th at 2:30 PM."
2,"We'll begin promptly at 10 AM on July 22nd."
3,"Save the evening of November 8th starting at 7 PM."
4,"The gathering is set for May 3rd at 4:45 PM."
5,"Join us at 9:15 AM on September 12th."
6,"Be there by 6 PM sharp on December 31st."
7,"It's happening August 19th from 3 PM to 6 PM."
8,"Set a reminder for April 7th at 11:30 AM."
9,"We start at 8 AM sharp on June 10th."
10,"The time is 5:45 PM on October 5th."
11,"Save the date: February 14th at 8 PM."
12,"Meet us at 1:15 PM on January 25th."
13,"The window is 10 AM to 2 PM on March 30th."
14,"Starting at 7:30 PM on July 4th."
15,"Final call at 11:59 PM on December 24th."
16,"Gather at 9 AM on April 22nd."
17,"The moment is 3:30 PM on August 8th."
18,"From 4 PM to 7 PM on September 18th."
19,"Be ready by 12:45 PM on November 11th."
20,"Starting promptly at 6 PM on May 29th."
21,"The countdown begins at 11 PM on December 31st."
22,"We'll reconvene at 2:15 PM on October 3rd."
23,"The doors open at 5 PM on July 17th."
24,"Save the morning of June 5th at 8 AM."
25,"Final submissions due by 5 PM on April 1st."
26,"The highlight is at 9:30 PM on August 12th."
27,"Running from 10 AM to 4 PM on March 8th."
28,"Starting at 7:45 AM on February 28th."
29,"The deadline is midnight on January 31st."
30,"Join us at twilight (around 6:48 PM) on September 21st."
31,"The cutoff is 3 PM sharp on November 30th."
32,"We begin at 11 AM on December 15th."
33,"The window is 9 AM to noon on April 9th."
34,"Starting promptly at 8:30 AM on May 7th."
35,"Final moments at 10:15 PM on July 23rd."
36,"The gathering is from 2 PM to 5 PM on October 14th."
37,"Be there by 4:45 PM on August 26th."
38,"Starting at 1 PM sharp on June 19th."
39,"The time is 7:30 PM on January 7th."
40,"Save the afternoon of March 22nd at 3 PM."
41,"We'll commence at 6:15 PM on September 9th."
42,"The cutoff is 11:59 PM on April 30th."
43,"Starting at 9 AM sharp on February 11th."
44,"Running from 10:30 AM to 2 PM on May 18th."
45,"The moment is 5 PM on December 8th."
46,"Be ready by 12 PM noon on July 31st."
47,"Starting at 8:45 AM on November 3rd."
48,"The deadline is 4 PM sharp on October 29th."
49,"Join us at 7:15 PM on January 19th."
50,"Save the evening of June 30th starting at 8 PM."
51,"We'll begin at 11:30 AM on March 17th."
52,"The gathering is set for 2:45 PM on August 14th."
53,"Starting promptly at 10 AM on September 1st."
54,"Be there by 6:30 PM on December 25th."
55,"It's happening April 5th from 3 PM to 7 PM."
56,"Set a reminder for May 22nd at 1:30 PM."
57,"We start at 9 AM sharp on July 11th."
58,"The time is 4:15 PM on November 28th."
59,"Save the date: January 13th at 7:45 PM."
60,"Meet us at 2 PM on February 29th."
61,"The window is 11 AM to 3 PM on October 7th."
62,"Starting at 8 PM on June 23rd."
63,"Final call at midnight on April 15th."
64,"Gather at 10 AM on September 30th."
65,"The moment is 4:30 PM on December 12th."
66,"From 5 PM to 8 PM on March 19th."
67,"Be ready by 1:15 PM on August 7th."
68,"Starting promptly at 7 PM on May 16th."
69,"The countdown begins at 11:30 PM on December 31st."
70,"We'll reconvene at 3 PM on November 9th."
71,"The doors open at 6 PM on July 8th."
72,"Save the morning of April 11th at 9 AM."
73,"Final submissions due by 6 PM on October 31st."
74,"The highlight is at 10 PM on August 21st."
75,"Running from 11 AM to 5 PM on February 14th."
76,"Starting at 8:15 AM on January 23rd."
77,"The deadline is midnight on March 31st."
78,"Join us at sunset (around 7:12 PM) on June 20th."
79,"The cutoff is 4 PM sharp on September 28th."
80,"We begin at 12 PM noon on December 7th."
81,"The window is 10 AM to 1 PM on May 9th."
82,"Starting promptly at 9:30 AM on July 6th."
83,"Final moments at 11 PM on November 15th."
84,"The gathering is from 3 PM to 6 PM on October 22nd."
85,"Be there by 5:45 PM on August 19th."
86,"Starting at 2 PM sharp on April 17th."
87,"The time is 8:30 PM on January 9th."
88,"Save the afternoon of March 26th at 4 PM."
89,"We'll commence at 7:15 PM on September 14th."
90,"The cutoff is 11:59 PM on May 31st."
91,"Starting at 10 AM sharp on February 21st."
92,"Running from 11:30 AM to 3 PM on June 18th."
93,"The moment is 6 PM on December 18th."
94,"Be ready by 1 PM on July 29th."
95,"Starting at 9:45 AM on November 7th."
96,"The deadline is 5 PM sharp on October 30th."
97,"Join us at 8:15 PM on January 29th."
98,"Save the evening of July 31st starting at 9 PM."
99,"We'll begin at 12:30 PM on March 27th."
100,"The gathering is set for 3:45 PM on August 24th."
101,"Starting promptly at 11 AM on September 11th."
102,"Be there by 7:30 PM on December 26th."
103,"It's happening April 15th from 4 PM to 8 PM."
104,"Set a reminder for May 30th at 2:30 PM."
105,"We start at 10 AM sharp on July 21st."
