sentence,datetime
"Let’s have dinner on Friday July 18, 2025 at 12:16 PM.",2025-07-18 12:16:13
"The deadline is Wednesday June 04, 2025 at 2:00 AM.",2025-06-04 02:00:13
"We’re flying to Delhi on Sunday July 20, 2025 at 12:39 AM.",2025-07-20 00:39:13
"I’ll see you at Tuesday July 01, 2025 at 10:48 AM.",2025-07-01 10:48:13
"The meeting is scheduled for Tuesday July 29, 2025 at 2:41 AM.",2025-07-29 02:41:13
"Our appointment is on Monday June 02, 2025 at 5:51 AM.",2025-06-02 05:51:13
"Our appointment is on Friday June 27, 2025 at 12:15 AM.",2025-06-27 00:15:13
"The deadline is Saturday June 28, 2025 at 7:29 PM.",2025-06-28 19:29:13
"There’s a match at Sunday June 29, 2025 at 5:39 AM.",2025-06-29 05:39:13
"The event starts at Sunday June 15, 2025 at 3:34 PM.",2025-06-15 15:34:13
"The class begins at Monday June 30, 2025 at 10:21 PM.",2025-06-30 22:21:13
"The deadline is Thursday June 12, 2025 at 1:05 PM.",2025-06-12 13:05:13
"Our appointment is on Friday June 06, 2025 at 10:00 AM.",2025-06-06 10:00:13
"Let’s have dinner on Friday June 13, 2025 at 6:19 AM.",2025-06-13 06:19:13
"Let’s have dinner on Monday June 23, 2025 at 8:18 PM.",2025-06-23 20:18:13
"We’re flying to Delhi on Tuesday June 10, 2025 at 8:40 PM.",2025-06-10 20:40:13
"I’ll see you at Saturday June 07, 2025 at 7:11 PM.",2025-06-07 19:11:13
"We’re flying to Delhi on Saturday June 21, 2025 at 8:53 PM.",2025-06-21 20:53:13
"Let’s have dinner on Wednesday July 30, 2025 at 6:15 PM.",2025-07-30 18:15:13
"The class begins at Thursday July 10, 2025 at 11:23 PM.",2025-07-10 23:23:13
"I have an interview on Friday June 13, 2025 at 7:41 PM.",2025-06-13 19:41:13
"I have an interview on Sunday July 06, 2025 at 8:39 AM.",2025-07-06 08:39:13
"There’s a match at Tuesday July 08, 2025 at 6:56 PM.",2025-07-08 18:56:13
"The meeting is scheduled for Sunday June 22, 2025 at 1:07 AM.",2025-06-22 01:07:13
"There’s a match at Wednesday June 04, 2025 at 9:34 PM.",2025-06-04 21:34:13
"The deadline is Friday June 13, 2025 at 2:29 PM.",2025-06-13 14:29:13
"The meeting is scheduled for Sunday July 06, 2025 at 2:03 AM.",2025-07-06 02:03:13
"We’re flying to Delhi on Friday June 13, 2025 at 9:33 PM.",2025-06-13 21:33:13
"The event starts at Wednesday June 11, 2025 at 8:34 PM.",2025-06-11 20:34:13
"Let’s have dinner on Monday July 28, 2025 at 3:11 AM.",2025-07-28 03:11:13
"I’ll see you at Thursday July 24, 2025 at 4:55 PM.",2025-07-24 16:55:13
"The deadline is Wednesday June 25, 2025 at 11:48 AM.",2025-06-25 11:48:13
"I’ll see you at Saturday July 12, 2025 at 1:49 PM.",2025-07-12 13:49:13
"The deadline is Wednesday July 02, 2025 at 12:25 PM.",2025-07-02 12:25:13
"There’s a match at Wednesday July 09, 2025 at 12:53 PM.",2025-07-09 12:53:13
"The class begins at Monday July 14, 2025 at 7:43 AM.",2025-07-14 07:43:13
"I have an interview on Tuesday June 03, 2025 at 7:21 AM.",2025-06-03 07:21:13
"I’ll see you at Sunday July 20, 2025 at 9:35 AM.",2025-07-20 09:35:13
