id,sentence
1,"We're meeting at 6 PM at the Beach Café."
2,"Gather with us tomorrow at 3 PM in Lecture Hall A."
3,"Join us at 10 AM sharp in the Central Library Hall."
4,"Let's convene at 7 PM in the community center."
5,"Everything begins at midnight on the rooftop bar."
6,"Be there by 5:30 PM at the Downtown Convention Center."
7,"The gathering starts at 11 AM tomorrow in the Courtyard."
8,"Arrive by 8 PM at the Grand Ballroom entrance."
9,"Kicking off at 9:15 AM in the Tech Hub auditorium."
10,"Starting promptly at 4 PM in the Executive Boardroom."
11,"Meet us at sunset (approx 7:48 PM) by the Pier."
12,"Doors open at 1 PM in the Exhibition Hall."
13,"Running from 2 PM to 5 PM in the Garden Pavilion."
14,"Be ready by 6:45 PM at the Vineyard Tasting Room."
15,"Starting at high noon in the Town Square."
16,"Gather at dawn (5:48 AM) at the Mountain Overlook."
17,"Join us at twilight (6:30 PM) by the Lakeside Deck."
18,"From 9 AM to 3 PM daily in the Community Center."
19,"Final call at 11:59 PM in the Jazz Club Lounge."
20,"Starting promptly at 8:30 AM in the Training Room."
21,"Meet at quarter past five (5:15 PM) in the Library Annex."
22,"Running from 10 AM to 6 PM in the Maker Space."
23,"Be there by 7:30 PM at the Rooftop Garden."
24,"Starting at 12:45 PM in the Conference Room B."
25,"Gathering begins at 4 PM sharp in the Sculpture Garden."
26,"Join us at 3:30 PM in the Science Museum Atrium."
27,"Doors lock at midnight in the Speakeasy Basement."
28,"Starting at 9:05 AM in the Innovation Lab."
29,"From 5 PM to 8 PM in the Art Gallery Loft."
30,"Be ready by 2:15 PM at the Hotel Lobby."
31,"Kicking off at 7:15 PM in the Outdoor Amphitheater."
32,"Starting promptly at 1:30 PM in the Glass Conservatory."
33,"Meet us at 11:45 AM in the Skylight Room."
34,"Running from noon to 4 PM in the Farmers Market."
35,"Gather at 8:15 AM at the Trailhead Meeting Point."
36,"Starting at 6 PM sharp in the Wine Cellar."
37,"Join us at 10:30 AM in the Children's Museum."
38,"Be there by 9 PM at the Comedy Club entrance."
39,"From 7 AM to 10 AM in the Sunrise Café."
40,"Starting promptly at 3:45 PM in the Lecture Theater."
41,"Meet at half past six (6:30 PM) in the Piano Lounge."
42,"Running from 11 AM to 2 PM in the Food Court."
43,"Gathering begins at 5:15 PM in the Rose Garden."
44,"Join us at 4:30 PM in the Bookstore Café."
45,"Starting at 8 PM sharp in the Screening Room."
46,"Be ready by 12:30 PM at the Marina Deck."
47,"Kicking off at 9:50 AM in the Workshop Space."
48,"From 6 PM to 9 PM in the Rooftop Lounge."
49,"Starting promptly at 2 PM in the Demonstration Kitchen."
50,"Meet us at 7:20 PM in the Jazz Bar."
51,"Gather at 10:15 AM at the Botanical Gardens entrance."
52,"Running from 1 PM to 5 PM in the Craft Studio."
53,"Be there by 8:45 PM at the Dance Studio."
54,"Starting at 11:30 AM in the Co-Working Space."
55,"Join us at 5:45 PM in the Tea House."
56,"From 9:30 AM to noon in the Meditation Room."
57,"Starting promptly at 7:05 PM in the Rooftop Cinema."
58,"Meet at quarter to eight (7:45 PM) in the Whiskey Bar."
59,"Gathering begins at 6:20 PM in the Sculpture Court."
60,"Be ready by 3:15 PM at the Cooking School."
61,"Kicking off at 10:05 AM in the Photography Studio."
62,"Running from 4 PM to 7 PM in the Beer Garden."
63,"Starting at 12:15 PM in the Executive Lounge."
64,"Join us at 9:25 PM in the Underground Club."
65,"From 8:30 AM to 11 AM in the Training Center."
66,"Starting promptly at 5:50 PM in the Mixology Lab."
67,"Meet us at 2:30 PM in the Art Studio."
68,"Gather at 7:10 AM at the Sunrise Yoga Platform."
69,"Be there by 6:55 PM in the Jazz Cellar."
70,"Starting at 1:45 PM in the Demonstration Area."
71,"Join us at 4:20 PM in the Rooftop Greenhouse."
72,"From 10:30 AM to 2:30 PM in the Community Kitchen."
73,"Starting promptly at 8:05 PM in the Piano Bar."
74,"Meet at twenty past seven (7:20 PM) in the Wine Bar."
75,"Gathering begins at 11:15 AM in the Reading Nook."
76,"Be ready by 9:35 PM at the Comedy Basement."
77,"Kicking off at 3:25 PM in the Maker Workshop."
78,"Running from 7 PM to 10 PM in the Rooftop Spa."
79,"Starting at 12:50 PM in the Conference Hall."
80,"Join us at 5:10 PM in the Tea Garden."
81,"From 6:30 AM to 9 AM in the Sunrise Pavilion."
82,"Starting promptly at 2:55 PM in the Display Gallery."
83,"Meet us at 8:40 PM in the Jazz Lounge."
84,"Gather at 10:50 AM at the Farmers Market Stall."
85,"Be there by 7:50 PM in the Rooftop Observatory."
86,"Starting at 4:45 PM in the Cooking Demo Area."
87,"Join us at 1:20 PM in the Craft Beer Hall."
88,"From 11:30 AM to 3 PM in the Community Hall."
89,"Starting promptly at 9:15 PM in the Blues Club."
90,"Meet at ten to nine (8:50 PM) in the Cocktail Bar."
91,"Gathering begins at 6:25 AM at the Sunrise Deck."
92,"Be ready by 3:35 PM in the Pottery Studio."
93,"Kicking off at 10:55 AM in the Photography Gallery."
94,"Running from 5 PM to 8 PM in the Rooftop Bar."
95,"Starting at 1:05 PM in the Executive Suite."
96,"Join us at 4:40 PM in the Tea Ceremony Room."
97,"From 7:30 AM to 10:30 AM in the Breakfast Nook."
98,"Starting promptly at 2:15 PM in the Display Area."
99,"Meet us at 9:05 PM in the Jazz Basement."
100,"Gather at 11:45 AM at the Flower Market."
101,"Be there by 8:15 PM in the Rooftop Jacuzzi."
102,"Starting at 5:20 PM in the Cooking Classroom."
103,"Join us at 12:30 PM in the Craft Cocktail Lounge."
104,"From 10 AM to 2 PM in the Community Center."
105,"Starting promptly at 7:45 PM in the Blues Lounge."
106,"Meet at five past eight (8:05 PM) in the Whiskey Lounge."
107,"Gathering begins at 6:40 AM at the Sunrise Platform."
108,"Be ready by 3:50 PM in the Ceramics Studio."
109,"Kicking off at 11:05 AM in the Photo Lab."
110,"Running from 6 PM to 9 PM in the Sky Bar."
111,"Starting at 1:15 PM in the Meeting Room."
112,"Join us at 4:50 PM in the Tea Tasting Room."
113,"From 8 AM to 11 AM in the Training Facility."
114,"Starting promptly at 3:05 PM in the Exhibition Space."
115,"Meet us at 10:10 PM in the Jazz Attic."
116,"Gather at 12:55 PM at the Farmers Market Center."
117,"Be there by 9:20 PM in the Rooftop Pool."
118,"Starting at 6:30 PM in the Culinary Studio."
119,"Join us at 1:40 PM in the Craft Beer Cellar."
120,"From 11 AM to 3 PM in the Town Hall."
121,"Starting promptly at 8:55 PM in the Blues Basement."
122,"Meet at quarter past nine (9:15 PM) in the Cocktail Lounge."
123,"Gathering begins at 7:05 AM at the Sunrise Point."
124,"Be ready by 4:10 PM in the Glassblowing Studio."
125,"Kicking off at 12:15 PM in the Photo Gallery."
126,"Running from 7 PM to 10 PM in the Penthouse Bar."
127,"Starting at 2:25 PM in the Boardroom."
128,"Join us at 6 PM in the Tea Meditation Space."
129,"From 9 AM to noon in the Workshop Area."
