id,sentence
1,"The Tech Summit kicks off March 15th at 9 AM."
2,"Join the Spring Festival on April 5th starting at noon!"
3,"Career Fair 2024 begins this Wednesday at 10:30 AM."
4,"Don't miss the Jazz Night this Friday at 8 PM."
5,"The Science Expo runs from May 10th-12th, 9 AM to 5 PM daily."
6,"Annual Gala Dinner will be held November 22nd at 7 PM sharp."
7,"Startup Pitch Competition begins tomorrow at 2 PM."
8,"Winter Wonderland opens December 15th at 4 PM."
9,"The Book Launch is scheduled for September 5th at 6:30 PM."
10,"AI Workshop starts this Monday at 11 AM in the main hall."
11,"Summer Concert Series begins June 21st at sunset (approx 7:45 PM)."
12,"New Product Reveal happens this Thursday at 10 AM sharp."
13,"Graduation Ceremony will take place May 25th starting at 2 PM."
14,"The Charity Auction begins tonight at 7:30 PM."
15,"Holiday Market opens December 1st from 9 AM to 8 PM."
16,"Leadership Conference starts next Tuesday at 8 AM."
17,"Halloween Party begins October 31st at 8 PM - costumes required!"
18,"The TEDx Talks will be held November 10th from 1 PM to 6 PM."
19,"Morning Yoga Retreat starts this Saturday at 7 AM."
20,"Investor Meetup begins tomorrow at 3 PM in the conference room."
21,"Food Festival 2024 runs July 12th-14th, 11 AM to 9 PM daily."
22,"The Art Exhibition opens January 15th at 5 PM."
23,"Annual Shareholders Meeting will be held March 28th at 10 AM."
24,"Summer Block Party starts this Saturday at 4 PM."
25,"The Coding Bootcamp begins September 3rd at 9 AM sharp."
26,"New Year's Eve Celebration begins December 31st at 9 PM."
27,"The Poetry Slam is happening this Friday night at 7:30 PM."
28,"Career Day will take place October 15th from 8 AM to 4 PM."
29,"Winter Sale begins December 26th at 6 AM - early birds welcome!"
30,"The Film Festival runs November 5th-10th, showtimes vary."
31,"Morning Meditation Session starts tomorrow at 6:30 AM."
32,"The Hackathon begins this Friday at 10 AM and runs all weekend."
33,"Diwali Celebration will be held November 1st starting at 6 PM."
34,"Annual General Meeting is scheduled for April 10th at 2 PM."
35,"The Wine Tasting event begins tonight at 7 PM."
36,"Summer Camp registration opens March 1st at 9 AM sharp."
37,"The Robotics Competition starts next Saturday at 8 AM."
38,"Black Friday Sale begins November 29th at midnight."
39,"The Cooking Class starts this Wednesday at 5:30 PM."
40,"Spring Cleanup Day will be held April 20th from 8 AM to noon."
41,"The Music Festival runs June 7th-9th, gates open at 11 AM daily."
42,"New Employee Orientation begins Monday at 8:30 AM."
43,"The Comedy Show starts this Friday at 9 PM - 18+ only."
44,"Annual Flower Show opens May 1st at 10 AM."
45,"The Marathon begins Sunday at 7 AM - register now!"
46,"Christmas Market runs December 10th-24th, 10 AM to 8 PM daily."
47,"The Webinar starts tomorrow at 1 PM EST - register today!"
48,"Easter Egg Hunt will be held April 7th at 10 AM sharp."
49,"The Trade Show opens September 15th at 9 AM."
50,"Summer Solstice Party begins June 21st at 6 PM."
51,"The Chess Tournament starts this Saturday at 10 AM."
52,"Annual Awards Night will be held December 5th at 7 PM."
53,"The Farmers Market opens May 4th at 8 AM every Saturday."
54,"Startup Demo Day begins November 8th at 1 PM."
55,"The Photography Workshop starts next Wednesday at 3 PM."
56,"Fall Festival runs October 12th-14th, noon to 10 PM daily."
57,"The Job Fair will be held March 12th from 9 AM to 3 PM."
58,"Moonlight Cinema begins tonight at 8:30 PM."
59,"The Science Fair starts April 18th at 9 AM."
60,"Annual Picnic will be held July 20th from 11 AM to 4 PM."
61,"The Dance Competition begins this Friday at 6 PM."
62,"Winter Sports Day starts December 8th at 10 AM."
63,"The Open House will be held September 10th from 1 PM to 7 PM."
64,"Summer BBQ begins this Saturday at 5 PM."
65,"The Poetry Reading starts tonight at 7 PM."
66,"Annual Conference will be held October 3rd-5th, starting at 8 AM daily."
67,"The Art Auction begins November 15th at 6 PM."
68,"Morning Run Club meets every Tuesday at 6:30 AM."
69,"The Fashion Show starts this Friday at 8 PM sharp."
70,"Spring Planting Day will be held April 22nd at 9 AM."
71,"The Tech Demo begins tomorrow at 11 AM."
72,"Holiday Concert will be held December 15th at 7 PM."
73,"The Book Sale starts August 12th at 9 AM."
74,"Summer Camp begins June 24th at 8 AM."
75,"The Wine Festival runs September 7th-9th, noon to 10 PM."
76,"Annual Meeting will be held January 25th at 10 AM."
77,"The Magic Show starts this Saturday at 4 PM."
78,"Winter Market opens November 30th at 10 AM."
79,"The Coding Workshop begins next Monday at 2 PM."
80,"Harvest Festival will be held October 5th from 10 AM to 6 PM."
81,"The Startup Pitch begins this Thursday at 3 PM."
82,"New Year's Day Brunch starts January 1st at 11 AM."
83,"The Art Class begins tomorrow at 10 AM."
84,"Summer Reading Program starts June 1st at 9 AM."
85,"The Film Premiere will be held November 20th at 7 PM."
86,"Annual Gala begins December 10th at 6 PM."
87,"The Science Workshop starts this Wednesday at 1 PM."
88,"Spring Fashion Show will be held March 15th at 7 PM."
89,"The Hackathon ends Sunday at 5 PM - final presentations!"
90,"Summer Concert begins tonight at 7:30 PM."
91,"The Job Workshop starts next Tuesday at 10 AM."
92,"Fall Harvest Dinner will be held October 20th at 6 PM."
93,"The Coding Competition begins this Saturday at 9 AM."
94,"Winter Wonderland opens December 1st at 5 PM."
95,"The Business Seminar starts tomorrow at 9 AM."
96,"Spring Fling will be held April 13th from noon to 6 PM."
97,"The Art Exhibition closes Sunday at 5 PM."
98,"Summer Camp ends August 10th - final show at 4 PM!"
99,"The Tech Talk begins this Friday at 11 AM."
100,"Annual Picnic will be held July 15th from 11 AM to 5 PM."
